;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
162;2017-0027;1.0;2017.0;2.0;26.0;21.0;CASEROS AV.;1429.0;SD;CASEROS AV. 1429;1.0;-58.38332245;-34.6319325;PEATON;AUTO
163;2017-0028;1.0;2017.0;2.0;28.0;9.0;GAONA AV.;;FRAGATA PRES. SARMIENTO;GAONA AV. y FRAGATA PRES. SARMIENTO;6.0;-58.45475488;-34.61196327;PEATON;AUTO
164;2017-0029;1.0;2017.0;3.0;7.0;2.0;MOZART;;TANDIL;MOZART y TANDIL;9.0;-58.48501341;-34.64742455;SD;AUTO
165;2017-0030;1.0;2017.0;3.0;7.0;8.0;MOZART;;AUTOPISTA DELLEPIANE LUIS TTE. GRAL.;MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.;9.0;-58.47010988;-34.65872088;AUTO;PASAJEROS
166;2017-0031;1.0;2017.0;3.0;11.0;1.0;24 DE NOVIEMBRE;;PAVON;24 DE NOVIEMBRE y PAVON;3.0;-58.4099756;-34.62873635;AUTO;OBJETO FIJO
167;2017-0032;1.0;2017.0;3.0;12.0;5.0;PAZ, GRAL. AV.;;LOS CEDROS;PAZ, GRAL. AV. y LOS CEDROS;8.0;-58.48892175;-34.68359163;AUTO;AUTO
168;2017-0033;1.0;2017.0;3.0;12.0;7.0;PAZ, GRAL. AV.;;GUTIERREZ, RICARDO;PAZ, GRAL. AV. y GUTIERREZ, RICARDO;11.0;-58.52466448;-34.60325478;AUTO;AUTO
169;2017-0034;1.0;2017.0;3.0;13.0;7.0;GODOY CRUZ;2651.0;SD;GODOY CRUZ 2651;14.0;-58.42554218;-34.57929036;PEATON;AUTO
170;2017-0035;3.0;2017.0;3.0;23.0;5.0;ACHAVAL RODRIGUEZ, T., DR. AV.;;VILLAFLOR, AZUCENA;ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA;1.0;-58.35881506;-34.61113641;AUTO;OBJETO FIJO
171;2017-0036;2.0;2017.0;3.0;29.0;18.0;PAZ, GRAL. AV.;;CAMPANA;PAZ, GRAL. AV. y CAMPANA;12.0;-58.51452347;-34.58159762;MOTO;PASAJEROS
172;2017-0037;1.0;2017.0;3.0;31.0;3.0;INDEPENDENCIA AV.;;CEVALLOS, VIRREY;INDEPENDENCIA AV. y CEVALLOS, VIRREY;1.0;-58.38896772;-34.61799615;MOTO;CARGAS
173;2017-0038;1.0;2017.0;4.0;1.0;19.0;CASTA?ARES AV.;;LAUTARO;CASTAÑARES AV. y LAUTARO;7.0;-58.44516857;-34.64363363;MOTO;AUTO
174;2017-0040;1.0;2017.0;4.0;3.0;9.0;GUIRALDES, INT.;2699.0;SD;GUIRALDES, INT. 2699;13.0;-58.43834197;-34.54560369;AUTO;MULTIPLE
175;2017-0041;1.0;2017.0;4.0;3.0;23.0;FERNANDEZ MORENO, BALDOMERO;2186.0;SD;FERNANDEZ MORENO, BALDOMERO 2186;7.0;-58.45485084;-34.63531854;MOTO;AUTO
177;2017-0045;1.0;2017.0;4.0;14.0;6.0;NOGOYA;5940.0;SD;NOGOYA 5940;10.0;-58.52449285;-34.62454175;MOTO;OBJETO FIJO
178;2017-0047;1.0;2017.0;4.0;23.0;6.0;ARGENTINA AV.;;CORVALAN;ARGENTINA AV. y CORVALAN;8.0;-58.46713742;-34.6719879;MOTO;AUTO
179;2017-0049;1.0;2017.0;4.0;27.0;18.0;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;;VARELA AV.;FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.;8.0;-58.43850413;-34.65554754;PEATON;PASAJEROS
182;2017-0052;1.0;2017.0;5.0;5.0;3.0;PAZ, GRAL. AV.;;GOLETA SANTA CRUZ;PAZ, GRAL. AV. y GOLETA SANTA CRUZ;8.0;-58.49413799;-34.68095739;PEATON;CARGAS
